PID,Sale_Price
906380170,198975.256699192
902204080,88087.7767400169
535478110,114776.511314449
908152270,148245.718146915
903458060,120637.480450457
907285100,234833.052723491
535377090,125747.063705069
527354200,184645.872129357
911128020,99075.8189372
533242030,228864.263309859
907135080,159382.636993957
902104020,141206.92248593
907414070,188864.548476006
528228450,194052.059551382
905425125,212182.871384918
534225110,146051.42594851
903427090,150829.577471872
902109080,113834.883281606
531452020,126213.924698497
534451020,85281.9092476878
531375120,156939.561326236
531451280,203451.054201275
907192030,186612.449240537
526350040,117197.253006629
534202030,142031.578125185
528172150,291415.312278272
908275240,112495.697965967
908151040,151890.938618228
528458130,319037.186640896
532378200,133554.639962746
535303030,173508.318892402
533208040,193202.237352658
905201110,172055.770488586
527126030,249714.428506623
907412080,188113.154995591
528142010,301771.031993979
916403020,191367.096369299
528120060,377874.498661807
904351280,118716.960452576
533244030,250284.29509186
924100070,168401.517610573
906392100,226214.51312669
905200350,153679.887620075
535125010,243981.908494315
907180120,205065.212244439
534251320,157654.443180016
527252050,307229.882169536
905451330,169650.840195949
527356020,294245.643768207
909131170,139099.154566262
528218030,191092.975327358
903454060,76871.4443607295
907252020,237642.619016251
923202060,135444.88044837
528435040,325216.043320735
905201080,155030.285369577
905300080,141234.512007842
905229040,155218.739468794
907254050,207537.502077671
903426160,150339.098814462
923228290,82602.8115630268
535402070,143384.788672013
909101080,92705.2427792721
535175030,157578.324782757
531475220,150489.452468707
903454010,131270.340708439
528228360,200646.252121706
534427010,144147.443377414
905476225,124907.281612079
907202050,161188.692687681
903227090,120680.528482453
907290230,151135.038889901
531375070,140873.64938792
534427140,153810.19204504
531452100,160814.075882712
528186100,319631.97788653
914476050,145078.455348197
535382130,156878.683074665
906226080,134243.053063976
902207120,87774.5746158592
531376050,185831.663338072
907295100,198279.616798315
903476090,103693.338518833
531375060,139134.38040842
535453150,146743.711171542
528106050,456673.383604582
535454060,84001.9937605212
528106070,323543.37750184
923229010,160125.361178619
908102050,109086.702766621
535425040,203662.097834866
533221030,176040.114836455
528427020,232065.692928309
535352080,113643.983024131
907203060,130101.202028476
903201080,173856.114036094
908188130,138841.765404948
907420080,201465.140582711
908186070,146795.749042443
531382090,181425.549112774
527353080,178496.344527296
533350050,307539.079498189
528218130,215054.3533835
534403100,160604.137436588
905402070,112186.870541501
533253050,170407.427952045
907230240,138738.95927708
527403040,153711.559496745
909252110,169305.376811856
907290090,200367.89523865
923202025,196580.575011754
534403360,151996.006712789
527454120,134299.228911198
907250020,228834.481401928
907414060,191086.540408617
909250200,141039.701260492
923251160,105477.562660247
527182190,206251.910596169
528363130,331825.71478768
535452140,114181.795151068
527216050,419640.752658692
904100140,208019.980384599
916125360,161140.568620727
528250010,179985.444553603
534276070,141100.560413399
527357110,138702.966027243
528441090,433200.909824323
531380080,235333.387879938
904101170,116546.449389018
527404150,110178.417959192
903231220,93814.8996775744
527161010,176796.834568651
528385050,252630.216189595
907181090,198921.860936629
532376160,131930.433392558
903236130,161186.306391745
534425310,149031.481742836
905450020,147207.104514991
535450210,135690.092488147
533206070,230322.96648535
533223110,154237.193435754
903232090,153511.45298435
902427040,108489.841910672
534151090,194822.296321419
527359030,156537.188460699
906225180,208769.884980711
527107010,183087.209397877
905200220,127177.573755489
906340130,331635.626194736
903233050,130622.090343233
907253060,229564.10016232
532378220,128965.47565303
909428170,233195.101270693
907275030,210480.076031731
905452140,141923.900722174
905378040,124645.33692909
905200260,150071.281581826
528186030,269812.964315893
533242080,192141.502435282
907412070,207587.972011079
535300120,164167.031453648
528240020,196274.424665041
908127120,112090.772379543
902106120,87664.5389165102
907270040,242113.796312791
528275160,259558.884249574
907420110,171653.056330547
902111010,98138.5246387929
528240080,231100.308811856
535401140,146696.632182625
528228290,199481.873573791
527454130,142243.542834684
527455080,152641.758178018
528427040,190809.740458513
916460070,184232.102545013
908275220,125675.471790261
533352150,150573.459560374
528458180,229280.270594237
902305080,132785.92764668
907200250,150482.086450211
907135180,124827.372723104
907200110,127759.04898761
903454020,79101.1964940255
905108090,159144.911802225
907202010,155621.706757985
907262050,222824.485010596
911370490,300004.464718997
527365030,235618.566024927
527110080,171850.922734582
534431030,131857.6287475
531452010,123250.336782357
528439010,229772.752988792
527212050,336051.38090798
904100100,191797.097282713
914467040,247338.402628121
923276250,127266.213574191
535457040,128736.920630073
527356060,171256.575049551
535378020,107246.51700809
531451030,183611.293068057
907275090,222076.29000764
907192040,220536.881113945
528458150,309349.736062546
535301170,148149.310471889
535402330,203017.973559346
534403040,171672.426821108
535383070,151293.890327556
909254050,198697.760084425
908102160,127964.025747953
528106040,410158.650338475
535456100,113942.809872496
528110100,386834.890865415
906202040,182477.205810973
905226050,149913.503755352
923225300,93751.8673299199
907285020,224688.052689093
906223040,225531.942535107
535327210,152041.123738943
528228405,208296.049400585
528480130,212999.347307241
902329090,148775.800782098
527404030,144182.549262941
908225310,94225.1662897621
534450090,48957.9730080762
923228180,79688.7245111316
907176010,187440.657175023
535180120,128204.490866609
527454050,144269.960786499
903456090,100833.816674015
908226120,117538.300861787
903204010,128277.905734012
528429070,247871.683469858
902103120,138960.192985647
528142040,357958.260871164
527355280,198963.450793764
528118050,412048.7499494
535376090,123013.855281519
534275010,129190.220686908
535150300,242337.201302281
528221100,175259.419055054
531375050,147263.737618415
903235020,96447.1396155596
909279040,109502.370316151
903400040,158726.166606852
527355150,302901.472338053
905202190,208773.445448827
916226030,193770.16356592
533213120,164110.817808151
911204090,88801.24551439
903475040,121722.512823324
528138030,398877.161684831
527378140,167926.237812565
527302185,243693.324965327
528174070,198286.689067203
903229040,127600.628514379
528186010,314392.613529055
907265100,213977.373126015
916382120,282106.385825746
531451290,209128.155152847
528168040,298878.555867042
902202090,138713.105134763
535450160,87324.9190836154
527132090,226009.417441666
534250370,308033.235467158
906380070,311259.324597271
534201130,135099.604062956
916403200,224399.011910273
906226140,119261.631561932
923228150,93306.981045412
906223060,213063.810384434
535350030,141209.194200711
528228325,201152.753339407
905103130,146968.220801388
906223140,234500.498968267
909179020,221241.277583632
534175010,138623.742198622
906223220,212355.569699572
909275230,185684.051464578
533128030,262873.227792201
907252190,245444.992285366
908186040,138250.894657154
532476080,238863.993643296
528290090,175883.229438475
528166120,417704.390121807
527451410,99165.7388349325
534475185,149530.605300449
533254050,206631.372156238
907202100,119316.578616601
906476030,207955.070674568
534152120,165871.750952034
908102290,103120.06780479
528221040,207473.650395401
533208020,225313.39179329
905377130,99778.1406699604
527451400,92449.8625177748
902328040,134826.496421761
535301010,145403.08878636
905480180,124999.084099596
902201130,111954.114955887
923225150,105427.267791524
904351200,119013.042356394
909254010,153949.826463831
916382010,202269.672253539
923228230,89377.7386134339
923426070,137321.598848994
902204060,121523.666567718
910203250,55298.799494642
527105030,192482.861269315
906392130,181640.013176818
535155110,139060.884659883
